STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,12.000.000,84/2021/GCNCW-VSD,23/08/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,12.000.000,,,
