STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,10.000.000,156/2021/GCNCW-VSD,26/10/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,10.000.000,,,
