STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,3.000.000,số 129/2020/GCNCW-VSD,13/08/2020,
2,Điều chỉnh lần 1,Đăng ký bổ sung,3.000.000,số 129/2020/GCNCW-VSD-1,10/11/2020,
3,Điều chỉnh lần 2,Đăng ký bổ sung,4.000.000,số 129/2020/GCNCW-VSD-2,17/12/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,10.000.000,,,
