STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,3.000.000,số 128/2020/GCNCW-VSD,13/08/2020,
2,Điều chỉnh lần 1,Đăng ký bổ sung,4.500.000,số 128/2020/GCNCW-VSD-1,14/12/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,7.500.000,,,
