STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,15.400.000,154.000.000.000,110/2008/GCN-CNTTLK,10/11/2008
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.600.000,26.000.000.000,110/2011/GCNCP-VSD/1,11/02/2011
3,Điều chỉnh lần 2,Đăng ký bổ sung,17.860.600,178.606.000.000,110/2008/GCNCP-VSD-2,08/10/2013
4,Điều chỉnh lần 3,Đăng ký bổ sung,17.860.600,178.606.000.000,110/2008/GCNCP-VSD-3,10/09/2014
5,Điều chỉnh lần 4,Đăng ký bổ sung,4.600.000,46.000.000.000,110/2008/GCNCP-VSD-4,23/12/2014
6,Điều chỉnh lần 5,Đăng ký bổ sung,5.666.666,56.666.660.000,số 110/2008/GCNCP-VSD-5,25/01/2017
7,Điều chỉnh lần 6,Đăng ký bổ sung,31.924.233,319.242.330.000,110/2008/GCNCP-VSD-6,01/09/2017
8,Điều chỉnh lần 7,Đăng ký bổ sung,1.659.475,16.594.750.000,110/2008/GCNCP-VSD-7,10/01/2018
9,Điều chỉnh lần 8,Đăng ký bổ sung,2.904.082,29.040.820.000,số 110/2008/GCNCP-VSD-8,09/04/2019
Tổng cộng:,Tổng cộng:,Tổng cộng:,100.475.656,1.004.756.560.000,,
