STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,7.970.000,79.700.000.000,80/2011/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 30/12/2011,30/12/2011
Tổng cộng:,Tổng cộng:,Tổng cộng:,7.970.000,79.700.000.000,,
