STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,4.800.000,48.000.000.000,số 52/2017/GCNCP-VSD,21/02/2017
Tổng cộng:,Tổng cộng:,Tổng cộng:,4.800.000,48.000.000.000,,
