STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,35.100.000,351.000.000.000,65/2006/GCNCP-CNTTLK,15/12/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,7.020.000,70.200.000.000,15/2007/GCNCP-CNTTLK,16/04/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,17.687.785,176.877.850.000,135/2007GCNCP-CNTTLK,20/12/2007
4,Điều chỉnh lần 3,Đăng ký bổ sung,4.185.615,41.856.150.000,65/2006/GCNCP-VSD-3,09/07/2014
5,Điều chỉnh lần 4,Đăng ký bổ sung,4.477.541,44.775.410.000,số 65/2006/GCNCP-VSD-4,07/07/2016
Tổng cộng:,Tổng cộng:,Tổng cộng:,68.470.941,684.709.410.000,,
