STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.008.000,10.080.000.000,số 81/2020/GCNCP-VSD,21/12/2020
Tổng cộng:,Tổng cộng:,Tổng cộng:,1.008.000,10.080.000.000,,
