STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,23.000.000,230.000.000.000,02/2011/GCNCP-VSD,10/01/2011
2,Điều chỉnh lần 1,Đăng ký bổ sung,6.900.000,69.000.000.000,02/2011/GCNCP–VSD-1,17/10/2011
3,Điều chỉnh lần 2,Đăng ký bổ sung,10.000.000,100.000.000.000,02/2011/GCNCP-VSD-2,20/08/2014
4,Điều chỉnh lần 3,Đăng ký bổ sung,3.191.920,31.919.200.000,02/2011/GCNCP-VSD-3,07/08/2015
5,Điều chỉnh lần 4,Đăng ký bổ sung,798.000,7.980.000.000,02/2011/GCNCP-VSD-4,13/11/2015
6,Điều chỉnh lần 5,Đăng ký bổ sung,6.144.441,61.444.410.000,số 02/2011/GCNCP-VSD-5,22/03/2016
7,Điều chỉnh lần 6,Đăng ký bổ sung,16.000.000,160.000.000.000,số 02/2011/GCNCP-VSD-6,30/11/2016
8,Điều chỉnh lần 7,Đăng ký bổ sung,33.017.094,330.170.940.000,02/2011/GCNCP-VSD-7,07/06/2017
9,Điều chỉnh lần 8,Đăng ký bổ sung,948.545,9.485.450.000,02/2011/GCNCP-VSD-8,31/08/2017
10,Điều chỉnh lần 9,Đăng ký bổ sung,30.000.000,300.000.000.000,số 02/2011/GCNCP-VSD-9,13/11/2017
11,Điều chỉnh lần 10,Đăng ký bổ sung,51.999.868,519.998.680.000,số 02/2011/GCNCP-VSD-10,05/07/2018
12,Điều chỉnh lần 11,Đăng ký bổ sung,36.398.700,363.987.000.000,02/2011/GCNCP-VSD-11,21/09/2021
13,Điều chỉnh lần 12,Đăng ký bổ sung,1.000.000,10.000.000.000,số 02/2011/GCNCP-VSD-12,24/01/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,219.398.568,2.193.985.680.000,,
