STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,10.000.000,số 146/2020/GCNCW-VSD,18/09/2020,
2,Điều chỉnh lần 1,Đăng ký hủy 1 phần,-4.000.000,số 146/2020/GCNCW-VSD-1,17/12/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,6.000.000,,,
