STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,8.599.760,85.997.600.000,14/2011/GCNCP-VSD,18/02/2011
2,Điều chỉnh lần 1,Đăng ký bổ sung,3.400.886,34.008.860.000,14/2011/GCNCP-VSD-1,15/02/2012
3,Điều chỉnh lần 2,Đăng ký bổ sung,2.399.988,23.999.880.000,14/2011/GCNCP-VSD-2,24/06/2015
4,Điều chỉnh lần 3,Đăng ký bổ sung,720.030,7.200.300.000,Số 14/2011/GCNCP-VSD-3 thay đổi lần 3 ngày 20/04/2016,20/04/2016
5,Điều chỉnh lần 4,Đăng ký bổ sung,2.879.952,28.799.520.000,số 14/2011/GCNCP-VSD-4,27/05/2016
6,Điều chỉnh lần 5,Đăng ký bổ sung,3.599.915,35.999.150.000,số 14/2011/GCNCP-VSD-5,10/10/2016
7,Điều chỉnh lần 6,Thay đổi tên TCPH,0,0,số: 14/2011/GCNCP-VSD-6,28/03/2017
8,Điều chỉnh lần 7,Đăng ký bổ sung,4.319.663,43.196.630.000,14/2011/GCNCP-VSD-7,23/06/2017
9,Điều chỉnh lần 8,Thay đổi tên TCPH,0,0,14/2011/GCNCP-VSD-8,24/08/2017
10,Điều chỉnh lần 9,Đăng ký bổ sung,1.296.000,12.960.000.000,số 14/2011/GCNCP-VSD-9,18/04/2018
11,Điều chỉnh lần 10,Đăng ký bổ sung,5.183.554,51.835.540.000,số 14/2011/GCNCP-VSD-10,01/06/2018
12,Điều chỉnh lần 11,Đăng ký bổ sung,16.199.693,161.996.930.000,14/2011/GCNCP-VSD-11,16/07/2018
Tổng cộng:,Tổng cộng:,Tổng cộng:,48.599.441,485.994.410.000,,
