STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,3.679.200,36.792.000.000,111/2010/GCNCP-VSD,04/05/2010
Tổng cộng:,Tổng cộng:,Tổng cộng:,3.679.200,36.792.000.000,,
