STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.669.115,16.691.150.000,41/2009/GCNCP-TTLK,18/08/2009
2,Điều chỉnh lần 1,Đăng ký bổ sung,66.672,666.720.000,41/2009/GCNCP-VSD-1,22/11/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,273.029,2.730.290.000,41/2009/GCNCP-VSD-2,11/11/2011
4,Điều chỉnh lần 3,Đăng ký bổ sung,1.000.000,10.000.000.000,41/2009/GCNCP-VSD-3,10/12/2012
5,Điều chỉnh lần 4,Đăng ký bổ sung,1.258.867,12.588.670.000,41/2009/GCNCP-VSD-4,28/04/2017
Tổng cộng:,Tổng cộng:,Tổng cộng:,4.267.683,42.676.830.000,,
