STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,2.000.000,số 56/2020/GCNCW-VSD,05/05/2020,
2,Điều chỉnh lần 1,Đăng ký bổ sung,4.000.000,số 56/2020/GCNCW-VSD-1,24/06/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,6.000.000,,,
