STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,15.000.000,150.000.000.000,01/GCN/TTGD2,17/07/2000
2,Điều chỉnh lần 1,Đăng ký bổ sung,7.500.000,75.000.000.000,31/GCN/TTGD-LK,31/07/2002
3,Điều chỉnh lần 2,Đăng ký bổ sung,674.274,6.742.740.000,38/GCN/TTGD-LK,30/03/2005
4,Điều chỉnh lần 3,Đăng ký bổ sung,5.000.000,50.000.000.000,280/GCN/TTGD-LK,17/10/2005
5,Điều chỉnh lần 4,Đăng ký bổ sung,5.549.410,55.494.100.000,59/GCNCP-CNTTLK,12/12/2006
6,Điều chỉnh lần 6,Đăng ký bổ sung,19.086.114,190.861.140.000,10/GCNCP-CNTTLK,13/03/2007
7,Điều chỉnh lần 5,Đăng ký bổ sung,4.450.590,44.505.900.000,30/GCNCP-CNTTLK,31/05/2007
8,Điều chỉnh lần 7,Đăng ký bổ sung,22.903.096,229.030.960.000,30/GCNCP-CNTTLK,31/05/2007
9,Điều chỉnh lần 8,Đăng ký bổ sung,879.647,8.796.470.000,017/2009/GCNCP-CNTTLK,21/04/2009
10,Điều chỉnh lần 9,Đăng ký bổ sung,97.250.158,972.501.580.000,109/2010/GCNCP-CNVSD,16/07/2010
11,Điều chỉnh lần 10,Đăng ký bổ sung,58.350.096,583.500.960.000,01/2000/GCNCP-VSD-10,09/08/2011
12,Điều chỉnh lần 11,Đăng ký bổ sung,8.000.000,80.000.000.000,01/2000/GCNCP-VSD-11,11/12/2012
13,Điều chỉnh lần 12,Đăng ký bổ sung,19.043.000,190.430.000.000,01/2000/GCNCP-VSD-12,24/01/2014
14,Điều chỉnh lần 13,Đăng ký bổ sung,1.965.154,19.651.540.000,01/2000/GCNCP-VSD-13,12/05/2014
15,Điều chỉnh lần 14,Đăng ký bổ sung,3.419.000,34.190.000.000,01/2000/GCNCP-VSD-14,23/12/2014
16,Điều chỉnh lần 15,Đăng ký bổ sung,546.271,5.462.710.000,số 01/2000/GCNCP-VSD-15,19/01/2016
17,Điều chỉnh lần 16,Đăng ký bổ sung,40.442.031,404.420.310.000,Số 01/2000/GCNCP-VSD-16,03/06/2016
Tổng cộng:,Tổng cộng:,Tổng cộng:,310.058.841,3.100.588.410.000,,
