STT,Lần đăng ký,Lý do,Số lượng ĐK,Số lượng hủy ĐK,Giá trị ĐK,Giá trị hủy ĐK,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,24.008.000,0.0,240.080.000.000,0.0,01/2012/GCNCCQ-VSD do TTLKCK Việt Nam cấp ngày 20/02/2012,20/02/2012
Tổng cộng:,Tổng cộng:,Tổng cộng:,24.008.000,0.0,240.080.000.000,0.0,,
Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,24.008.000,,,,,
Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,240.080.000.000,,,,,
