STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,28.000.000,280.000.000.000,số 105/2016/GCNCP-VSD,26/09/2016
2,Điều chỉnh lần 1,Đăng ký bổ sung,499.764,4.997.640.000,105/2016/GCNCP-VSD-1,28/08/2017
Tổng cộng:,Tổng cộng:,Tổng cộng:,28.499.764,284.997.640.000,,
