STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,5.997.040,59.970.400.000,Số 33/2016/GCNCP-VSD,21/04/2016
Tổng cộng:,Tổng cộng:,Tổng cộng:,5.997.040,59.970.400.000,,
