STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,600.0,60.000.000.000,Số 74/2014/GCNTP-VSD do VSD cấp ngày 27/11/2014,27/11/2014
Tổng cộng:,Tổng cộng:,Tổng cộng:,600.0,60.000.000.000,,
