STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,6.500.000,101/2021/GCNCW-VSD,01/09/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,6.500.000,,,
