STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,3.265.000,32.650.000.000,02/2015/GCNCP-VSD,07/01/2015
2,Điều chỉnh lần 1,Đăng ký bổ sung,816.249,8.162.490.000,số 02/2015/GCNCP-VSD-1,07/07/2016
3,Điều chỉnh lần 2,Đăng ký bổ sung,489.745,4.897.450.000,số 02/2015/GCNCP-VSD-2,28/08/2018
4,Điều chỉnh lần 3,Đăng ký bổ sung,228.522,2.285.220.000,số 02/2015/GCNCP-VSD-3,08/08/2019
Tổng cộng:,Tổng cộng:,Tổng cộng:,4.799.516,47.995.160.000,,
