STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,10.372.365,103.723.650.000,95/2009/GCNCP-CNVSD,30/10/2009
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.074.472,20.744.720.000,95/2009/GCNCP-VSD-1,14/07/2015
3,Điều chỉnh lần 2,Đăng ký bổ sung,518.618,5.186.180.000,95/2009/GCNCP-VSD-2,08/12/2015
4,Điều chỉnh lần 3,Đăng ký bổ sung,1.295.733,12.957.330.000,số 95/2009/GCNCP-VSD-3,19/09/2016
5,Điều chỉnh lần 4,Đăng ký bổ sung,648.272,6.482.720.000,số 95/2009/GCNCP-VSD-4,15/12/2016
6,Điều chỉnh lần 5,Đăng ký bổ sung,1.484.716,14.847.160.000,95/2009/GCNCP-VSD-5,19/07/2018
7,Điều chỉnh lần 6,Đăng ký bổ sung,742.792,7.427.920.000,95/2009/GCNCP-VSD-6,18/01/2019
8,Điều chỉnh lần 7,Đăng ký bổ sung,843.390,8.433.900.000,95/2009/GCNCP-VSD-7,12/08/2021
9,Điều chỉnh lần 8,Đăng ký bổ sung,1.766.813,17.668.130.000,95/2009/GCNCP-VSD-8,10/02/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,19.747.171,197.471.710.000,,
