STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,2.275.000,22.750.000.000,82/2006/GCNCP-CNTTLK,15/12/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,894.497,8.944.970.000,74/2007/GCNCP-CNTTLK,23/08/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,1.500.000,15.000.000.000,82/2007/GCNCP-CNTTLK,25/09/2007
4,Điều chỉnh lần 3,Đăng ký bổ sung,4.199.074,41.990.740.000,32/2009/GCNCP-CNTTLK,24/06/2009
5,Điều chỉnh lần 4,Đăng ký bổ sung,1.763.860,17.638.600.000,82/2006/GCNCP-VSD-4,21/03/2013
6,Điều chỉnh lần 5,Đăng ký bổ sung,1.057.899,10.578.990.000,82/2006/GCNCP-VSD-5,26/06/2014
7,Điều chỉnh lần 6,Đăng ký bổ sung,3.865.290,38.652.900.000,số 82/2006/GCNCP-VSD-6,08/12/2016
8,Điều chỉnh lần 7,Thay đổi tên TCPH,0,0,số 82/2006/GCNCP-VSD-7,14/05/2019
9,Điều chỉnh lần 8,Đăng ký bổ sung,2.325.308,23.253.080.000,số 82/2006/GCNCP-VSD-8,16/07/2019
10,Điều chỉnh lần 9,Đăng ký bổ sung,8.915.437,89.154.370.000,số 82/2006/GCNCP-VSD-9,13/02/2020
11,Điều chỉnh lần 10,Đăng ký bổ sung,3.208.915,32.089.150.000,số 82/2006/GCNCP-VSD-10,21/09/2020
12,Điều chỉnh lần 11,Đăng ký bổ sung,2.994.979,29.949.790.000,82/2006/GCNCP-VSD-11,01/10/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,33.000.259,330.002.590.000,,
