STT,Lần đăng ký,Lý do,Số lượng ĐK,Số lượng hủy ĐK,Giá trị ĐK,Giá trị hủy ĐK,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,9.800.000,0.0,98.000.000.000,0,02/2014/GCNETF-VSD-01,11/10/2017
2,Điều chỉnh lần 2,Giao dịch hoán đổi,0,-100.0,0,-1.000.000.000,số 02/2014/GCNETF-VSD-02,14/12/2017
3,Điều chỉnh lần 3,,2.400.000,0.0,24.000.000.000,0,số 02/2014/GCNETF-VSD-03,28/05/2019
4,Điều chỉnh lần 4,giao dịch hoán đổi,1.500.000,0.0,15.000.000.000,0,số 02/2014/GCNETF-VSD-04,14/06/2019
5,Điều chỉnh lần 5,giao dịch hoán đổi,200.000,0.0,2.000.000.000,0,số 02/2014/GCNETF-VSD-05,30/09/2019
6,Điều chỉnh lần 6,giao dịch hoán đổi,200.000,0.0,2.000.000.000,0,số 02/2014/GCNETF-VSD-06,18/11/2019
7,Điều chỉnh lần 7,giao dịch hoán đổi,100.000,0.0,1.000.000.000,0,số 02/2014/GCNETF-VSD-07,04/12/2019
8,Điều chỉnh lần 8,giao dịch hoán đổi,100.000,0.0,1.000.000.000,0,số 02/2014/GCNETF-VSD-08,09/12/2019
9,Điều chỉnh lần 9,giao dịch hoán đổi,0,-700.0,0,-7.000.000.000,số 02/2014/GCNETF-VSD-09,11/06/2020
10,Điều chỉnh lần 10,,2.200.000,0.0,22.000.000.000,0,02/2014/GCNETF-VSD-10,13/04/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,16.500.000,-800.0,165.000.000.000,-8.000.000.000,,
Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,15.700.000,,,,,
Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,157.000.000.000,,,,,
