STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,1.000.000,số 12/2019/GCNCW-VSD,09/07/2019,
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.000.000,số 12/2019/GCNCW-VSD-1,13/09/2019,
3,Điều chỉnh lần 2,Đăng ký bổ sung,1.000.000,số 12/2019/GCNCW-VSD-2,17/10/2019,
Tổng cộng:,Tổng cộng:,Tổng cộng:,3.000.000,,,
