STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,15.534.900,155.349.000.000,216 /2016/GCNCP-VSD,28/12/2016
Tổng cộng:,Tổng cộng:,Tổng cộng:,15.534.900,155.349.000.000,,
