STT,Lần đăng ký,Lý do,Số lượng ĐK,Số lượng hủy ĐK,Giá trị ĐK,Giá trị hủy ĐK,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,5.000.000,0.0,50.000.000.000,0.0,số 02/2016/GCNCCQ-VSD,26/07/2016
2,Điều chỉnh lần 2,Thay đổi tên TCPH,0,0.0,0,0.0,số 02/2016/GCNCCQ-VSD-1,07/03/2019
Tổng cộng:,Tổng cộng:,Tổng cộng:,5.000.000,0.0,50.000.000.000,0.0,,
Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,5.000.000,,,,,
Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,50.000.000.000,,,,,
