STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.175.000.000,11.750.000.000.000,số 73/2020/GCNCP-VSD,26/11/2020
2,Điều chỉnh lần 1,Đăng ký bổ sung,352.500.000,3.525.000.000.000,73/2020/GCNCP-VSD-1,05/11/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,1.527.500.000,15.275.000.000.000,,
