STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,10.339.000,1.033.900.000.000,Số 49/2014/GCNTP-VSD do VSD cấp ngày 30/5/2014,30/05/2014
2,Điều chỉnh lần 1,Đăng ký bổ sung,11.700.000,1.170.000.000.000,49/2014/GCNTP-VSD-1,27/06/2014
3,Điều chỉnh lần 2,Đăng ký bổ sung,20.000.000,2.000.000.000.000,49/2014/GCNTP-VSD-2,30/07/2014
4,Điều chỉnh lần 3,Đăng ký bổ sung,30.000.000,3.000.000.000.000,49/2014/GCNTP-VSD-3,08/08/2014
Tổng cộng:,Tổng cộng:,Tổng cộng:,72.039.000,7.203.900.000.000,,
