STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,12.000.000,89/2021/GCNCW-VSD,23/08/2021,
2,Điều chỉnh lần 1,Đăng ký bổ sung,6.000.000,89/2021/GCNCW-VSD-1,20/10/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,18.000.000,,,
