STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,441.023,4.410.230.000,số 08/CPH/2020/GCNCP-VSD,10/09/2020
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.168.755,21.687.550.000,28/2021/GCNCP-VSD,22/07/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,2.168.755,21.687.550.000,,
