STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,66.800.000,668.000.000.000,số 69/2020/GCNCP-VSD,18/11/2020
2,Điều chỉnh lần 1,Đăng ký bổ sung,43.200.000,432.000.000.000,69/2020/GCNCP-VSD-1,11/03/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,110.000.000,1.100.000.000.000,,
