STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,2.500.000,176/2021/GCNCW-VSD,22/11/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,2.500.000,,,
