STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,2.500.000,số 134/2020/GCNCW-VSD,24/08/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,2.500.000,,,
