STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,3.500.000,số 153/2020/GCNCW-VSD,25/09/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,3.500.000,,,
