STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,40.000.000,400.000.000.000,số 21/2018/GCNCP-VSD,13/04/2018
2,Điều chỉnh lần 1,Đăng ký bổ sung,28.000.000,280.000.000.000,số 21/2018/GCNCP-VSD-1,11/06/2018
3,Điều chỉnh lần 2,Đăng ký bổ sung,680.000,6.800.000.000,số 21/2018/GCNCP-VSD-2,17/05/2019
4,Điều chỉnh lần 3,Đăng ký bổ sung,10.301.792,103.017.920.000,số 21/2018/GCNCP-VSD-3,16/08/2019
Tổng cộng:,Tổng cộng:,Tổng cộng:,78.981.792,789.817.920.000,,
