STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,1.500.000,số 27/2019/GCNCW-VSD,24/09/2019,
2,Điều chỉnh lần 1,Đăng ký bổ sung,3.000.000,số 27/2019/GCNCW-VSD-1,05/12/2019,
Tổng cộng:,Tổng cộng:,Tổng cộng:,4.500.000,,,
