STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,15.000.000,150.000.000.000,235/2010/GCNCP-VSD,29/09/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.500.000,15.000.000.000,235/2010/GCNCP-VSD-1,05/09/2011
3,Điều chỉnh lần 2,Đăng ký bổ sung,10.000.000,100.000.000.000,235/2010/GCNCP-VSD-2,11/09/2014
4,Điều chỉnh lần 3,Đăng ký bổ sung,29.150.000,291.500.000.000,235/2010/GCNCP-VSD-3,01/09/2015
5,Điều chỉnh lần 4,Đăng ký bổ sung,12.350.000,123.500.000.000,số 235/2010/GCNCP-VSD-4,12/05/2016
6,Điều chỉnh lần 5,Đăng ký bổ sung,5.565.000,55.650.000.000,số 235/2010/GCNCP-VSD-5,01/11/2016
7,Điều chỉnh lần 6,Đăng ký bổ sung,3.678.250,36.782.500.000,235/2010/GCNCP-VSD-6,23/08/2017
8,Điều chỉnh lần 7,Đăng ký bổ sung,5.407.027,54.070.270.000,số 235/2010/GCNCP-VSD-7,21/11/2018
9,Điều chỉnh lần 8,Đăng ký bổ sung,8.265.027,82.650.270.000,số 235/2010/GCNCP-VSD-8,10/12/2020
10,Điều chỉnh lần 9,Đăng ký bổ sung,9.091.530,90.915.300.000,235/2010/GCNCP-VSD-9,16/08/2021
11,Điều chỉnh lần 10,Đăng ký bổ sung,30.000.000,300.000.000.000,235/2010/GCNCP-VSD-10,17/09/2021
12,Điều chỉnh lần 11,Đăng ký bổ sung,30.000.000,300.000.000.000,235/2010/GCNCP-VSD-11,06/06/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,160.006.834,1.600.068.340.000,,
