STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,15.500.000,155.000.000.000,20/2010/GCNCP-CNVSD,28/01/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.150.000,21.500.000.000,20/2010/GCNCP-VSD/1,13/05/2011
3,Điều chỉnh lần 2,Đăng ký bổ sung,3.529.970,35.299.700.000,20/2010/GCNCP-VSD-2,06/12/2012
4,Điều chỉnh lần 3,Đăng ký bổ sung,2.117.945,21.179.450.000,20/2010/GCNCP-VSD-3,21/10/2013
5,Điều chỉnh lần 4,Đăng ký bổ sung,3.494.511,34.945.110.000,20/2010/GCNCP-VSD-4,04/11/2014
6,Điều chỉnh lần 5,Đăng ký bổ sung,2.679.038,26.790.380.000,20/2010/GCNCP-VSD-5,06/08/2015
7,Điều chỉnh lần 6,Đăng ký bổ sung,8.841.208,88.412.080.000,số 20/2010/GCNCP-VSD-6,22/03/2016
8,Điều chỉnh lần 7,Đăng ký bổ sung,11.493.584,114.935.840.000,20/2010/GCNCP-VSD-7,08/08/2017
9,Điều chỉnh lần 8,Đăng ký bổ sung,750.000,7.500.000.000,số 20/2010/GCNCP-VSD-8,20/11/2017
10,Điều chỉnh lần 9,Đăng ký bổ sung,15.166.597,151.665.970.000,số 20/2010/GCNCP-VSD-9,26/09/2018
11,Điều chỉnh lần 10,Đăng ký bổ sung,5.000.000,50.000.000.000,số 20/2010/GCNCP-VSD-10,29/03/2019
12,Điều chỉnh lần 11,Đăng ký bổ sung,7.071.600,70.716.000.000,số 20/2010/GCNCP-VSD-11,16/10/2019
Tổng cộng:,Tổng cộng:,Tổng cộng:,77.794.453,777.944.530.000,,
