STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,4.969.000,49.690.000.000,94/2006/GCNCP-CNTTLK,27/12/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,596.280,5.962.800.000,54/2007/GCNCP-CNTTLK,27/07/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,2.100.000,21.000.000.000,20/2008/GCNCP-CNTTLK,30/01/2008
4,Điều chỉnh lần 3,Đăng ký bổ sung,459.912,4.599.120.000,94/2008/GCNCP-CNTTLK,10/09/2008
5,Điều chỉnh lần 4,Đăng ký bổ sung,324.975,3.249.750.000,056/2009/GCNCP-CNTTLK,10/08/2009
6,Điều chỉnh lần 5,Đăng ký bổ sung,337.934,3.379.340.000,128/2010/GCNCP-CNVSD,16/08/2010
7,Điều chỉnh lần 6,Đăng ký bổ sung,29.700.142,297.001.420.000,94/2006/GCNCP-VSD-6,19/08/2011
8,Điều chỉnh lần 7,Đăng ký bổ sung,527.111,5.271.110.000,94/2006/GCNCP-VSD-7,26/08/2011
9,Điều chỉnh lần 8,Đăng ký bổ sung,1.782.006,17.820.060.000,94/2006/GCNCP-VSD-8,02/12/2011
10,Điều chỉnh lần 9,Đăng ký bổ sung,558.662,5.586.620.000,94/2006/GCNCP-VSD-9,29/08/2012
11,Điều chỉnh lần 10,Đăng ký bổ sung,296.051,2.960.510.000,94/2006/GCNCP-VSD-10,03/10/2013
12,Điều chỉnh lần 11,Đăng ký bổ sung,203.265,2.032.650.000,số 94/2006/GCNCP-VSD-11,29/09/2016
13,Điều chỉnh lần 11,Đăng ký bổ sung,203.265,2.032.650.000,Số 94/2006/GCNCP-VSD-11,29/09/2016
14,Điều chỉnh lần 12,Đăng ký bổ sung,3.577.498,35.774.980.000,94/2006/GCNCP-VSD-12,30/12/2016
Tổng cộng:,Tổng cộng:,Tổng cộng:,45.432.836,454.328.360.000,,
