STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,2.750.000,27.500.000.000,26/2008/GCNCP-TTLK,28/04/2008
2,Điều chỉnh lần 1,Đăng ký bổ sung,679.550,6.795.500.000,26/2008/GCNCP-TTLK- 1,14/07/2009
3,Điều chỉnh lần 2,Đăng ký bổ sung,828.450,8.284.500.000,26/2008/GCNCP-CNVSD-2,23/09/2010
4,Điều chỉnh lần 3,Đăng ký bổ sung,840.777,8.407.770.000,26/2008/GCNCP-CNVSD-3,29/07/2011
5,Điều chỉnh lần 4,Đăng ký bổ sung,1.007.165,10.071.650.000,26/2008/GCNCP-VSD- 4,30/07/2012
6,Điều chỉnh lần 5,Đăng ký bổ sung,3.034.513,30.345.130.000,26/2008/GCNCP-VSD- 5,05/04/2013
7,Điều chỉnh lần 6,Đăng ký bổ sung,1.815.261,18.152.610.000,26/2008/GCNCP/VSD - 6,16/07/2013
8,Điều chỉnh lần 7,Đăng ký bổ sung,3.643.898,36.438.980.000,26/2008/GCNCP-VSD-7,26/12/2013
9,Điều chỉnh lần 8,Đăng ký bổ sung,1.235.131,12.351.310.000,số 26/2008/GCNCP-VSD-8,30/03/2018
10,Điều chỉnh lần 9,Đăng ký bổ sung,1.892.124,18.921.240.000,26/2008/GCNCP-VSD - 9,15/11/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,17.726.869,177.268.690.000,,
