STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,3.000.000,28/2021/GCNCW-VSD,26/02/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,3.000.000,,,
