STT,Lần đăng ký,Lý do,Số lượng ĐK,Số lượng hủy ĐK,Giá trị ĐK,Giá trị hủy ĐK,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,10.200.000,0,102.000.000.000,0,số 02/2020/GCNETF-VSD,27/04/2020
2,Điều chỉnh lần 1,giao dịch hoán đổi,7.500.000,0,75.000.000.000,0,số 02/2020/GCNETF-VSD-1,14/05/2020
3,Điều chỉnh lần 2,Giao dịch hoán đổi,500.000,0,5.000.000.000,0,02/2020/GCNETF-VSD-2,15/05/2020
4,Điều chỉnh lần 3,giao dịch hoán đổi,21.800.000,0,218.000.000.000,0,số 02/2020/GCNETF-VSD-3,18/05/2020
5,Điều chỉnh lần 4,giao dịch hoán đổi,3.700.000,0,37.000.000.000,0,số 02/2020/GCNETF-VSD-4,19/05/2020
6,Điều chỉnh lần 5,giao dịch hoán đổi,1.600.000,0,16.000.000.000,0,số 02/2020/GCNETF-VSD-5,20/05/2020
7,Điều chỉnh lần 6,giao dịch hoán đổi,6.500.000,0,65.000.000.000,0,số 02/2020/GCNETF-VSD-6,21/05/2020
8,Điều chỉnh lần 7,giao dịch hoán đổi,3.000.000,0,30.000.000.000,0,số 02/2020/GCNETF-VSD-7,22/05/2020
9,Điều chỉnh lần 8,giao dịch hoán đổi,1.000.000,0,10.000.000.000,0,số 02/2020/GCNETF-VSD-8,25/05/2020
10,Điều chỉnh lần 9,giao dịch hoán đổi,300.000,0,3.000.000.000,0,số 02/2020/GCNETF-VSD-9,26/05/2020
11,Điều chỉnh lần 10,giao dịch hoán đổi,700.000,0,7.000.000.000,0,số 02/2020/GCNETF-VSD-10,27/05/2020
12,Điều chỉnh lần 11,giao dịch hoán đổi,200.000,0,2.000.000.000,0,số 02/2020/GCNETF-VSD-11,28/05/2020
13,Điều chỉnh lần 12,giao dịch hoán đổi,1.000.000,0,10.000.000.000,0,số 02/2020/GCNETF-VSD-12,29/05/2020
14,Điều chỉnh lần 13,giao dịch hoán đổi,200.000,0,2.000.000.000,0,số 02/2020/GCNETF-VSD-13,01/06/2020
15,Điều chỉnh lần 14,giao dịch hoán đổi,1.400.000,0,14.000.000.000,0,số 02/2020/GCNETF-VSD-14,02/06/2020
16,Điều chỉnh lần 15,Giao dịch hoán đổi,100.000,0,1.000.000.000,0,02/2020/GCNETF-VSD-15,03/06/2020
17,Điều chỉnh lần 16,giao dịch hoán đổi,200.000,0,2.000.000.000,0,số 02/2020/GCNETF-VSD-16,04/06/2020
18,Điều chỉnh lần 17,giao dịch hoán đổi,100.000,0,1.000.000.000,0,số 02/2020/GCNETF-VSD-17,05/06/2020
19,Điều chỉnh lần 18,giao dịch hoán đổi,1.000.000,0,10.000.000.000,0,số 02/2020/GCNETF-VSD-18,08/06/2020
20,Điều chỉnh lần 19,giao dịch hoán đổi,15.500.000,0,155.000.000.000,0,số 02/2020/GCNETF-VSD-19,09/06/2020
21,Điều chỉnh lần 20,giao dịch hoán đổi,12.200.000,0,122.000.000.000,0,số 02/2020/GCNETF-VSD-20,10/06/2020
22,Điều chỉnh lần 21,giao dịch hoán đổi,11.100.000,0,111.000.000.000,0,số 02/2020/GCNETF-VSD-21,11/06/2020
23,Điều chỉnh lần 22,giao dịch hoán đổi,2.800.000,0,28.000.000.000,0,số 02/2020/GCNETF-VSD-22,12/06/2020
24,Điều chỉnh lần 23,giao dịch hoán đổi,800.000,0,8.000.000.000,0,số 02/2020/GCNETF-VSD-23,15/06/2020
25,Điều chỉnh lần 24,giao dịch hoán đổi,1.400.000,0,14.000.000.000,0,số 02/2020/GCNETF-VSD-24,16/06/2020
26,Điều chỉnh lần 25,,600.000,0,6.000.000.000,0,số 02/2020/GCNETF-VSD-25,17/06/2020
27,Điều chỉnh lần 26,,2.400.000,0,24.000.000.000,0,số 02/2020/GCNETF-VSD-26,18/06/2020
28,Điều chỉnh lần 27,,400.000,0,4.000.000.000,0,số 02/2020/GCNETF-VSD-27,19/06/2020
29,Điều chỉnh lần 28,,1.700.000,0,17.000.000.000,0,số 02/2020/GCNETF-VSD-28,22/06/2020
30,Điều chỉnh lần 29,,100.000,0,1.000.000.000,0,số 02/2020/GCNETF-VSD-29,23/06/2020
31,Điều chỉnh lần 30,,200.000,0,2.000.000.000,0,số 02/2020/GCNETF-VSD-30,24/06/2020
32,Điều chỉnh lần 31,,4.500.000,0,45.000.000.000,0,số 02/2020/GCNETF-VSD-31,25/06/2020
33,Điều chỉnh lần 32,,2.200.000,0,22.000.000.000,0,số 02/2020/GCNETF-VSD-32,26/06/2020
34,Điều chỉnh lần 33,Giao dịch hoán đổi,100.000,0,1.000.000.000,0,02/2020/GCNETF-VSD-33,29/06/2020
35,Điều chỉnh lần 34,,2.100.000,0,21.000.000.000,0,số 02/2020/GCNETF-VSD-34,30/06/2020
36,Điều chỉnh lần 35,,2.900.000,0,29.000.000.000,0,số 02/2020/GCNETF-VSD-35,01/07/2020
37,Điều chỉnh lần 36,,300.000,0,3.000.000.000,0,số 02/2020/GCNETF-VSD-36,03/07/2020
38,Điều chỉnh lần 37,,800.000,0,8.000.000.000,0,số 02/2020/GCNETF-VSD-37,07/07/2020
39,Điều chỉnh lần 38,,100.000,0,1.000.000.000,0,số 02/2020/GCNETF-VSD-38,14/07/2020
40,Điều chỉnh lần 39,,100.000,0,1.000.000.000,0,số 02/2020/GCNETF-VSD-39,15/07/2020
41,Điều chỉnh lần 40,,100.000,0,1.000.000.000,0,số 02/2020/GCNETF-VSD-40,21/07/2020
42,Điều chỉnh lần 41,,500.000,0,5.000.000.000,0,02/2020/GCNETF-VSD,27/07/2020
