STT,Lần đăng ký,Lý do,Số lượng ĐK,Số lượng hủy ĐK,Giá trị ĐK,Giá trị hủy ĐK,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,20.200.000,0,202.000.000.000,0,01/2014/GCNETF-VSD,26/09/2014
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.600.000,0,16.000.000.000,0,01/GCNETF-VSD-01,09/10/2014
3,Điều chỉnh lần 2,,0,-100.000,0,-1.000.000.000,01/GCNETF-VSD-02,16/10/2014
4,Điều chỉnh lần 3,,500.000,0,5.000.000.000,0,01/GCNETF-VSD-03,10/11/2014
5,Điều chỉnh lần 4,,2.000.000,0,20.000.000.000,0,01/GCNETF-VSD-04,13/11/2014
6,Điều chỉnh lần 5,,0,-1.000.000,0,-10.000.000.000,01/GCNETF-VSD-05,17/11/2014
7,Điều chỉnh lần 6,,0,-2.000.000,0,-20.000.000.000,01/GCNETF-VSD-06,20/11/2014
8,Điều chỉnh lần 7,,0,-1.000.000,0,-10.000.000.000,01/GCNETF-VSD-07,24/11/2014
9,Điều chỉnh lần 8,,0,-100.000,0,-1.000.000.000,01/GCNETF-VSD-08,17/06/2015
10,Điều chỉnh lần 9,,0,-200.000,0,-2.000.000.000,01/GCNETF-VSD-09,08/07/2015
11,Điều chỉnh lần 10,,1.600.000,0,16.000.000.000,0,01/GCNETF-VSD-10,05/08/2015
12,Điều chỉnh lần 11,,2.000.000,0,20.000.000.000,0,01/GCNETF-VSD-11,13/08/2015
13,Điều chỉnh lần 12,,3.000.000,0,30.000.000.000,0,01/GCNETF-VSD-12,25/08/2015
14,Điều chỉnh lần 13,,900.000,0,9.000.000.000,0,01/2014/GCNETF-VSD-13,31/08/2015
15,Điều chỉnh lần 14,,4.000.000,0,40.000.000.000,0,01/2014/GCNETF-VSD-14,01/09/2015
16,Điều chỉnh lần 15,,1.100.000,0,11.000.000.000,0,01/2014/GCNETF-VSD-15,03/09/2015
17,Điều chỉnh lần 16,,2.300.000,0,23.000.000.000,0,01/2014/GCNETF-VSD-16,04/09/2015
18,Điều chỉnh lần 17,,1.600.000,0,16.000.000.000,0,01/2014/GCNETF-VSD-17,18/09/2015
19,Điều chỉnh lần 18,,1.300.000,0,13.000.000.000,0,01/2014/GCNETF-VSD-18,28/09/2015
20,Điều chỉnh lần 19,,500.000,0,5.000.000.000,0,01/2014/GCNETF-VSD-19,30/09/2015
21,Điều chỉnh lần 20,,500.000,0,5.000.000.000,0,01/2014/GCNETF-VSD-20,05/10/2015
22,Điều chỉnh lần 21,,0,-600.000,0,-6.000.000.000,01/2014/GCNETF-VSD-21,28/10/2015
23,Điều chỉnh lần 22,,0,-100.000,0,-1.000.000.000,01/2014/GCNETF-VSD-22,29/10/2015
24,Điều chỉnh lần 23,,0,-600.000,0,-6.000.000.000,01/2014/GCNETF-VSD-23,06/11/2015
25,Điều chỉnh lần 24,,500.000,0,5.000.000.000,0,01/2014/GCNETF-VSD-24,08/12/2015
26,Điều chỉnh lần 25,,700.000,0,7.000.000.000,0,01/2014/GCNETF-VSD-25,15/12/2015
27,Điều chỉnh lần 26,,0,-300.000,0,-3.000.000.000,01/2014/GCNETF-VSD-26,23/12/2015
28,Điều chỉnh lần 27,,0,-600.000,0,-6.000.000.000,01/2014/GCNETF-VSD-27,25/12/2015
29,Điều chỉnh lần 28,,300.000,0,3.000.000.000,0,01/2014/GCNETF-VSD-28,07/01/2016
30,Điều chỉnh lần 29,,600.000,0,6.000.000.000,0,số 01/2014/GCNETF-VSD-29,02/02/2016
31,Điều chỉnh lần 30,,0,-2.000.000,0,-20.000.000.000,số 01/2014/GCNETF-VSD-30,17/02/2016
32,Điều chỉnh lần 31,,500.000,0,5.000.000.000,0,Số 01/2014/GCNETF-VSD-31,15/04/2016
33,Điều chỉnh lần 32,,100.000,0,1.000.000.000,0,Số 01/2014/GCNETF-VSD-32,20/04/2016
34,Điều chỉnh lần 33,,500.000,0,5.000.000.000,0,số 01/2014/GCNETF-VSD-33,21/04/2016
35,Điều chỉnh lần 34,,500.000,0,5.000.000.000,0,Số 01/2014/GCNETF-VSD-34,28/04/2016
36,Điều chỉnh lần 35,,500.000,0,5.000.000.000,0,số 01/2014/GCNETF-VSD-35,29/04/2016
37,Điều chỉnh lần 36,Do giao dịch hoán đổi,0,-100.000,0,-1.000.000.000,số 01/2014/GCNETF-VSD-36,05/05/2016
38,Điều chỉnh lần 37,Do giao dịch hoán đổi,100.000,0,1.000.000.000,0,số 01/2014/GCNETF-VSD-37,06/05/2016
39,Điều chỉnh lần 38,,0,-600.000,0,-6.000.000.000,số 01/2014/GCNETF-VSD-38,09/05/2016
40,Điều chỉnh lần 39,Giao dịch hoán đổi,0,-500.000,0,-5.000.000.000,Số 01/2014/GCNETF-VSD-39,10/05/2016
41,Điều chỉnh lần 40,Giao dịch hoán đổi,0,-200.000,0,-2.000.000.000,Số 01/2014/GCNETF-VSD-40,13/05/2016
42,Điều chỉnh lần 41,Giao dịch hoán đổi,0,-100.000,0,-1.000.000.000,Số 01/2014/GCNETF-VSD-41,16/05/2016
43,Điều chỉnh lần 42,Giao dịch hoán đổi,0,-200.000,0,-2.000.000.000,Số 01/2014/GCNETF-VSD-42,19/05/2016
44,Điều chỉnh lần 43,Giao dịch hoán đổi,0,-200.000,0,-2.000.000.000,Số 01/2014/GCNETF-VSD-43,25/05/2016
45,Điều chỉnh lần 44,Giao dịch hoán đổi,0,-200.000,0,-2.000.000.000,số 01/2014/GCNETF-VSD-44,27/05/2016
46,Điều chỉnh lần 45,,0,-600.000,0,-6.000.000.000,01/2014/GCNETF-VSD-45,01/06/2016
47,Điều chỉnh lần 46,Giao dịch hoán đổi,0,-100.000,0,-1.000.000.000,Số 01/2014/GCNETF-VSD-46,02/06/2016
48,Điều chỉnh lần 47,Giao dịch hoán đổi,0,-300.000,0,-3.000.000.000,số 01/2014/GCNETF-VSD-47,03/06/2016
49,Điều chỉnh lần 48,,0,-300.000,0,-3.000.000.000,01/2014/GCNETF-VSD-48,23/06/2016
