STT,Lần đăng ký,Lý do,Số lượng ĐK,Số lượng hủy ĐK,Giá trị ĐK,Giá trị hủy ĐK,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,5.200.000,0.0,52.000.000.000,0.0,01/2021/GCNETF-VSD,16/09/2021
2,Điều chỉnh lần 1,,100.000,0.0,1.000.000.000,0.0,01/2021/GCNETF-VSD-1,19/10/2021
3,Điều chỉnh lần 2,,100.000,0.0,1.000.000.000,0.0,01/2021/GCNETF-VSD-2,04/11/2021
4,Điều chỉnh lần 3,,100.000,0.0,1.000.000.000,0.0,01/2021/GCNETF-VSD-3,24/11/2021
5,Điều chỉnh lần 4,,100.000,0.0,1.000.000.000,0.0,01/2021/GCNETF-VSD-4,03/12/2021
6,Điều chỉnh lần 5,,100.000,0.0,1.000.000.000,0.0,01/2021/GCNETF-VSD-5,20/04/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,5.700.000,0.0,57.000.000.000,0.0,,
Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,5.700.000,,,,,
Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,57.000.000.000,,,,,
