STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,17.000.000,168/2021/GCNCW-VSD,18/11/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,17.000.000,,,
