STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,20.000.000,200.000.000.000,48/2006/GCNCP-CNTTLK,24/11/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,5.000.000,50.000.000.000,18/2007/GCNCP-CNTTLK,08/05/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,1.499.823,14.998.230.000,92/2009/GCNCP-CNVSD,26/10/2009
4,Điều chỉnh lần 3,Đăng ký bổ sung,7.946.876,79.468.760.000,38/2006/GCNCP-VSD-3,04/05/2011
5,Điều chỉnh lần 4,Thay đổi tên TCPH,0,0,38/2006/GCNCP-VSD-4,13/03/2013
6,Điều chỉnh lần 5,Đăng ký bổ sung,15.840.804,158.408.040.000,38/2006/GCNCP-VSD-5,14/03/2013
7,Điều chỉnh lần 6,Đăng ký bổ sung,10.055.135,100.551.350.000,số 38/2006/GCNCP-VSD-6,04/02/2016
Tổng cộng:,Tổng cộng:,Tổng cộng:,60.342.638,603.426.380.000,,
