STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,15.000.000,150.000.000.000,43/2006/GCNCP-TTLK,18/12/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.056.100,10.561.000.000,43/2006/GCNCP-TTLK-1,08/11/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,71.100,711.000.000,43/2006/GCNCP-TTLK-2,06/10/2008
4,Điều chỉnh lần 3,Đăng ký bổ sung,4.031.800,40.318.000.000,43/2009/GCNCP-TTLK-3,23/11/2009
5,Điều chỉnh lần 4,Đăng ký bổ sung,2.015.888,20.158.880.000,43/2009/GCNCP-VSD-4,10/02/2010
6,Điều chỉnh lần 5,Đăng ký bổ sung,5.543.006,55.430.060.000,43/2009/GCNCP-VSD-5,11/08/2010
7,Điều chỉnh lần 6,Đăng ký bổ sung,1.385.871,13.858.710.000,43/2009/GCNCP-VSD-6,05/11/2010
8,Điều chỉnh lần 7,Đăng ký bổ sung,5.819.854,58.198.540.000,43/2006/GCNCP-VSD-7,08/02/2011
9,Điều chỉnh lần 8,Đăng ký bổ sung,8.729.880,87.298.800.000,43/2006/GCNCP-VSD-8,01/08/2011
10,Điều chỉnh lần 9,Đăng ký bổ sung,6.546.864,65.468.640.000,43/2006/GCNCP-VSD-9,13/12/2011
11,Điều chỉnh lần 10,Đăng ký bổ sung,10.039.015,100.390.150.000,43/2006/GCNCP-VSD-10,16/07/2012
12,Cấp lần đầu,Thay đổi tên TCPH,0,0,43/2006/GCNCP-VSD-11,14/05/2013
13,Điều chỉnh lần 12,Đăng ký bổ sung,4.818.012,48.180.120.000,43/2006/GCNCP-VSD-12,31/07/2013
14,Điều chỉnh lần 13,Đăng ký bổ sung,5.203.447,52.034.470.000,43/2006/GCNCP-VSD-13,02/07/2014
15,Điều chỉnh lần 14,Đăng ký bổ sung,10.538.002,105.380.020.000,43/2006/GCNCP-VSD-14,12/08/2015
Tổng cộng:,Tổng cộng:,Tổng cộng:,80.798.839,807.988.390.000,,
