STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,6.414.100,64.141.000.000,Số 55/2014/GCNCP-VSD cấp ngày 31/7/2014,31/07/2014
Tổng cộng:,Tổng cộng:,Tổng cộng:,6.414.100,64.141.000.000,,
