STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,3.500.000,35.000.000.000,25/GCN/TTGD-LK,17/10/2001
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.500.000,15.000.000.000,05/2007/GCNCP-CNTTLK,06/02/2007
Tổng cộng:,Tổng cộng:,Tổng cộng:,5.000.000,50.000.000.000,,
