STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,1.000.000,66/2021/GCNCW-VSD,27/07/2021,
2,Điều chỉnh lần 1,đăng ký bố sung,2.000.000,66/2021/GCNCW-VSD-1,15/09/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,3.000.000,,,
