STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,10.000.000,số 01/2020/GCNCW-VSD,06/01/2020,
2,Điều chỉnh lần 1,đăng ký bổ sung,10.000.000,số 01/2020/GCNCW-VSD-1,18/05/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,20.000.000,,,
