STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.861.141,18.611.410.000,154/2010/GCNCP-VSD,07/06/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,297.739,2.977.390.000,154/2010/GCNCP-VSD-1,20/12/2011
Tổng cộng:,Tổng cộng:,Tổng cộng:,2.158.880,21.588.800.000,,
