STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.420.000,142.000.000.000,14/GCN/TTGDHCM-LK,23/05/2003
Tổng cộng:,Tổng cộng:,Tổng cộng:,1.420.000,142.000.000.000,,
