STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.509.565,15.095.650.000,57/2010/GCNCP-VSD,08/03/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,241.527,2.415.270.000,57/2010/GCNCP-VSD-1,25/04/2011
Tổng cộng:,Tổng cộng:,Tổng cộng:,1.751.092,17.510.920.000,,
