STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.405.908.635,14.059.086.350.000,155/2017/GCNCP-VSD,07/08/2017
2,Điều chỉnh lần 1,Đăng ký bổ sung,164.714.380,1.647.143.800.000,số 155/2017/GCNCP-VSD-1,14/11/2017
3,Điều chỉnh lần 2,Đăng ký bổ sung,925.649.857,9.256.498.570.000,số 155/2017/GCNCP-VSD-2,16/07/2018
4,Điều chỉnh lần 3,Đăng ký bổ sung,33.695.094,336.950.940.000,số 155/2017/GCNCP-VSD-3,10/10/2018
5,Điều chỉnh lần 4,Đăng ký bổ sung,1.975.725.021,19.757.250.210.000,155/2017/GCNCP-VSD-4,01/11/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,4.505.692.987,45.056.929.870.000,,
