STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,8.000.000,80.000.000.000,96/2008/GCNCP-CNTTLK,19/09/2008
2,Điều chỉnh lần 1,Đăng ký bổ sung,799.927,7.999.270.000,96/2008/GCNCP-VSD-1,29/09/2010
Tổng cộng:,Tổng cộng:,Tổng cộng:,8.799.927,87.999.270.000,,
