STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,3.000.000,108/2020/GCNCW-VSD,29/07/2020,
2,Điều chỉnh lần 1,Đăng ký hủy 1 phần,-1.200.000,số 108/2020/GCNCW-VSD-1,30/10/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,1.800.000,,,
