STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,12.000.000,120.000.000.000,09/2007/GCNCP-TTLK,08/11/2007
2,Điều chỉnh lần 1,Thay đổi tên TCPH,0,0,09/2007/GCNCP-VSD-1,19/06/2008
3,Điều chỉnh lần 2,Đăng ký bổ sung,2.519.998,25.199.980.000,09/2007/GCNCP-VSD-2,11/12/2008
4,Điều chỉnh lần 3,Đăng ký bổ sung,1.451.737,14.517.370.000,09/2007/GCNCP-VSD-3,15/10/2009
5,Điều chỉnh lần 4,Đăng ký bổ sung,3.266.490,32.664.900.000,09/2007/GCNCP-VSD-4,01/07/2010
6,Điều chỉnh lần 5,Đăng ký bổ sung,303.059,3.030.590.000,09/2007/GCNCP-VSD-5,26/10/2010
7,Điều chỉnh lần 6,Đăng ký bổ sung,15.458.716,154.587.160.000,09/2007/GCNCP-VSD-6,31/03/2011
8,Điều chỉnh lần 7,Đăng ký bổ sung,15.000.000,150.000.000.000,09/2007/GCNCP-VSD-7,18/01/2013
9,Điều chỉnh lần 8,Thay đổi tên TCPH,0,0,số 09/2007/GCNCP-VSD -8,16/01/2020
Tổng cộng:,Tổng cộng:,Tổng cộng:,50.000.000,500.000.000.000,,
