STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,3.000.000,145/2021/GCNCW-VSD,13/10/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,3.000.000,,,
