STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,60.810.230,608.102.300.000,51/2006/GCNCP-CNVSD,28/11/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,30.405.114,304.051.140.000,34/2007/GCNCP-CNVSD,14/06/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,684.115,6.841.150.000,65/2007/GCNCP-CNVSD,16/08/2007
4,Điều chỉnh lần 3,Đăng ký bổ sung,1.292.887,12.928.870.000,61/2008/GCNCP-CNVSD,24/06/2008
5,Điều chỉnh lần 4,Đăng ký bổ sung,46.595.473,465.954.730.000,118/2008/GCNCP-CNVSD,22/12/2008
6,Điều chỉnh lần 5,Đăng ký bổ sung,220.125,2.201.250.000,31/2009/GCNCP-CNVSD,23/06/2009
7,Điều chỉnh lần 6,Đăng ký bổ sung,2.641.253,26.412.530.000,61/2009/GCNCP-CNVSD,11/08/2009
8,Điều chỉnh lần 7,Đăng ký bổ sung,47.547.223,475.472.230.000,51/2006/GCNCP-VSD-7,29/06/2010
9,Điều chỉnh lần 8,Đăng ký bổ sung,1.718.909,17.189.090.000,51/2006/GCNCP-VSD-8,04/08/2010
10,Điều chỉnh lần 9,Đăng ký bổ sung,291.435,2.914.350.000,51/2006/GCNCP-VSD-9,11/08/2010
11,Điều chỉnh lần 10,Đăng ký bổ sung,772.060,7.720.600.000,51/2006/GCNCP-VSD-10,07/09/2010
12,Điều chỉnh lần 11,Đăng ký bổ sung,397.950,3.979.500.000,51/2006/GCNCP-VSD-11,25/07/2011
13,Điều chỉnh lần 12,Đăng ký bổ sung,19.830.549,198.305.490.000,51/2006/GCNCP-VSD-12,26/09/2011
14,Điều chỉnh lần 13,Đăng ký bổ sung,2.771.610,27.716.100.000,51/2006/GCNCP-VSD-13,05/10/2011
15,Điều chỉnh lần 14,Đăng ký bổ sung,53.981.160,539.811.600.000,51/2006/GCNCP-VSD-14,06/07/2012
16,Điều chỉnh lần 15,Đăng ký bổ sung,3.762.899,37.628.990.000,51/2006/GCNCP-VSD-15,20/07/2012
17,Điều chỉnh lần 16,Đăng ký bổ sung,125.841,1.258.410.000,51/2006/GCNCP-VSD-16,26/09/2012
18,Điều chỉnh lần 17,Đăng ký bổ sung,1.352.922,13.529.220.000,51/2006/GCNCP-VSD-17,01/07/2013
19,Điều chỉnh lần 18,Đăng ký bổ sung,68.774.845,687.748.450.000,51/2006/GCNCP-VSD-18,17/06/2014
20,Điều chỉnh lần 19,Đăng ký bổ sung,1.719.317,17.193.170.000,51/2006/GCNCP-VSD-19,15/05/2015
21,Điều chỉnh lần 20,Đăng ký bổ sung,51.835.723,518.357.230.000,51/2006/GCNCP-VSD-20,07/07/2015
22,Điều chỉnh lần 21,Đăng ký bổ sung,1.986.829,19.868.290.000,số 51/2006/GCNCP-VSD-21,25/04/2016
23,Điều chỉnh lần 22,Đăng ký bổ sung,59.908.215,599.082.150.000,51/2006/GCNCP-VSD-22,01/07/2016
24,Điều chỉnh lần 23,Đăng ký bổ sung,2.296.370,22.963.700.000,51/2006/GCNCP-VSD-23,25/04/2017
25,Điều chỉnh lần 24,Đăng ký bổ sung,69.238.051,692.380.510.000,51/2006/GCNCP-VSD-24,28/06/2017
26,Điều chỉnh lần 25,Đăng ký bổ sung,2.654.556,26.545.560.000,số 51/2006/GCNCP-VSD-25,27/04/2018
27,Điều chỉnh lần 26,Đăng ký bổ sung,80.021.111,800.211.110.000,số 51/2006/GCNCP-VSD-26,11/07/2018
28,Điều chỉnh lần 27,Đăng ký bổ sung,3.067.200,30.672.000.000,số 51/2006/GCNCP-VSD-27,03/05/2019
29,Điều chỉnh lần 28,Đăng ký bổ sung,61.654.716,616.547.160.000,số 51/2006/GCNCP-VSD-28 do VSD cấp ngày 17/6/2019,17/06/2019
30,Điều chỉnh lần 29,Đăng ký bổ sung,3.391.790,33.917.900.000,51/2006/GCNCP-VSD-29,20/04/2020
31,Điều chỉnh lần 30,Đăng ký bổ sung,102.237.008,1.022.370.080.000,số 51/2006/GCNCP-VSD-30,16/06/2020
32,Điều chỉnh lần 31,Đăng ký bổ sung,5.209.768,52.097.680.000,51/2006/GCNCP-VSD-31,13/05/2021
33,Điều chỉnh lần 32,Đăng ký bổ sung,118.354.395,1.183.543.950.000,51/2006/GCNCP-VSD-32,06/07/2021
34,Điều chỉnh lần 33,Đăng ký bổ sung,6.644.265,66.442.650.000,51/2006/GCNCP-VSD-33,26/05/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,914.195.914,9.141.959.140.000,,
