STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,13.600.000,136.000.000.000,101/2008/GCNCP-CNTTLK,09/10/2008
2,Điều chỉnh lần 1,Đăng ký bổ sung,6.800.000,68.000.000.000,41/2009/GCNCP-CNTTLK,16/07/2009
3,Điều chỉnh lần 2,Đăng ký bổ sung,4.600.000,46.000.000.000,098/2009/GCNCP-CNVSD,12/11/2009
4,Điều chỉnh lần 3,Đăng ký bổ sung,12.499.997,124.999.970.000,92/2010/GCNCP-CNVSD,25/06/2010
5,Điều chỉnh lần 4,Đăng ký bổ sung,18.749.959,187.499.590.000,101/2008/GCNCP-VSD-4,12/07/2011
6,Điều chỉnh lần 5,Đăng ký bổ sung,20.000.000,200.000.000.000,101/2008/GCNCP-VSD- 5,17/10/2014
7,Điều chỉnh lần 6,Đăng ký bổ sung,1.750.044,17.500.440.000,số 101/2008/GCNCP-VSD-6,15/11/2017
8,Điều chỉnh lần 7,Đăng ký bổ sung,22.000.000,220.000.000.000,số 101/2008/GCNCP-VSD-7,14/03/2018
9,Điều chỉnh lần 8,Đăng ký bổ sung,4.899.293,48.992.930.000,số 101/2008/GCNCP-VSD-8,03/01/2020
10,Điều chỉnh lần 9,Đăng ký bổ sung,2.407,24.070.000,số 101/2008/GCNCP-VSD-9,08/04/2020
11,Điều chỉnh lần 10,Đăng ký bổ sung,12.346.810,123.468.100.000,số 101/2008/GCNCP-VSD-10,01/10/2020
12,Điều chỉnh lần 11,Đăng ký bổ sung,57.156.314,571.563.140.000,101/2008/GCNCP-VSD-11,16/12/2021
13,Điều chỉnh lần 12,Thay đổi tên TCPH,0,0,101/2008/GCNCP-VSD-12,05/05/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,174.404.824,1.744.048.240.000,,
