STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,2.000.000,20.000.000.000,57/2006/GCNCP-CNTTLK,12/12/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.427.637,14.276.370.000,37/2008/GCNCP-CNTTLK,27/03/2008
3,Điều chỉnh lần 2,Đăng ký bổ sung,3.358.946,33.589.460.000,57/2006/GCNCP-VSD-2,05/03/2015
4,Điều chỉnh lần 3,Đăng ký bổ sung,1.085.558,10.855.580.000,57/2006/GCNCP-VSD-3,05/08/2015
5,Điều chỉnh lần 4,Đăng ký bổ sung,5.635.000,56.350.000.000,57/2006/GCNCP-VSD-4,07/08/2015
6,Điều chỉnh lần 5,Đăng ký bổ sung,13.506.583,135.065.830.000,Số 57/2006/GCNCP-VSD-5,06/09/2016
7,Điều chỉnh lần 6,Đăng ký bổ sung,2.991.900,29.919.000.000,số 57/2006/GCNCP-VSD-6,16/01/2017
8,Điều chỉnh lần 7,Đăng ký bổ sung,19.503.648,195.036.480.000,57/2006/GCNCP-VSD-7,31/08/2017
9,Điều chỉnh lần 8,Đăng ký bổ sung,500.000,5.000.000.000,số 57/2006/GCNCP-VSD-8,18/12/2017
10,Điều chỉnh lần 9,Đăng ký bổ sung,37.999.263,379.992.630.000,số 57/2006/GCNCP-VSD-9,06/09/2018
11,Điều chỉnh lần 10,Đăng ký bổ sung,12.000.000,120.000.000.000,số 57/2006/GCNCP-VSD-10,15/02/2019
12,Điều chỉnh lần 11,Đăng ký bổ sung,9.145.958,91.459.580.000,số 57/2006/GCNCP-VSD-11,16/12/2020
13,Điều chỉnh lần 12,Đăng ký bổ sung,9.755.420,97.554.200.000,số 57/2006/GCNCP-VSD-12,25/01/2022
14,Điều chỉnh lần 13,Thay đổi tên TCPH,0,0,57/2006/GCNCP-VSD-13,30/05/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,118.909.913,1.189.099.130.000,,
